選手名,年度,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,四球,死球,三振,併殺打,打率,出塁率,長打率,犠打,犠飛,所属球団
秋山　翔吾,2025,64,157,145,12,38,6,0,1,47,5,0,0,9,2,27,2,0.262,0.314,0.324,1,0,広島東洋
野間　峻祥,2025,79,166,154,10,38,3,2,0,45,15,2,1,10,1,30,3,0.247,0.295,0.292,0,1,広島東洋
中村　健人,2025,4,10,6,1,0,0,0,0,0,0,1,0,3,1,1,0,0,0.4,0,0,0,広島東洋
末包　昇大,2025,123,477,437,40,106,18,3,11,163,62,2,3,33,2,97,6,0.243,0.296,0.373,0,5,広島東洋
松山　竜平,2025,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,広島東洋
久保　修,2025,17,14,13,1,2,2,0,0,4,0,1,1,1,0,6,1,0.154,0.214,0.308,0,0,広島東洋
大盛　穂,2025,102,173,162,28,43,6,1,3,60,11,7,2,9,0,42,2,0.265,0.304,0.37,2,0,広島東洋
田村　俊介,2025,25,69,63,5,16,0,1,1,21,4,0,1,6,0,14,1,0.254,0.319,0.333,0,0,広島東洋
ファビアン,2025,138,572,539,60,149,30,0,17,230,65,2,3,22,9,84,8,0.276,0.315,0.427,0,2,広島東洋
中村　奨成,2025,104,368,344,43,97,21,3,9,151,33,2,6,17,3,48,2,0.282,0.321,0.439,3,1,広島東洋
太田　光,2025,111,231,188,14,33,7,2,1,47,12,0,0,23,5,47,6,0.176,0.281,0.25,14,1,東北楽天
田中　貴也,2025,12,5,3,0,1,0,0,0,1,0,0,0,1,0,2,0,0.333,0.5,0.333,1,0,東北楽天
堀内　謙伍,2025,76,194,168,16,43,3,1,3,57,18,1,0,17,0,39,3,0.256,0.323,0.339,8,1,東北楽天
石原　彪,2025,31,38,32,1,3,0,0,0,3,3,0,0,3,0,12,0,0.094,0.171,0.094,3,0,東北楽天
小深田　大翔,2025,124,357,299,36,65,5,2,1,77,14,28,8,40,1,65,1,0.217,0.311,0.258,16,1,東北楽天
宗山　塁,2025,122,460,430,32,112,19,3,3,146,27,7,0,20,1,82,10,0.26,0.289,0.34,0,9,東北楽天
浅村　栄斗,2025,96,389,331,27,79,13,1,9,121,34,1,0,51,6,81,11,0.239,0.35,0.366,0,1,東北楽天
阿部　寿樹,2025,43,129,105,11,23,5,1,3,39,8,1,1,22,0,31,1,0.219,0.352,0.371,1,1,東北楽天
村林　一輝,2025,137,557,513,41,144,14,0,3,167,51,6,2,28,3,102,14,0.281,0.32,0.326,10,3,東北楽天
鈴木　大地,2025,93,198,172,13,41,3,2,2,54,23,1,0,13,11,29,5,0.238,0.33,0.314,1,1,東北楽天
ボイト,2025,67,276,243,29,73,9,0,13,121,39,0,0,27,6,59,5,0.3,0.384,0.498,0,0,東北楽天
フランコ,2025,101,347,317,21,75,9,0,7,105,32,0,1,24,1,65,6,0.237,0.288,0.331,0,5,東北楽天
黒川　史陽,2025,83,343,301,32,90,8,1,4,112,33,1,1,35,2,56,4,0.299,0.372,0.372,2,3,東北楽天
伊藤　裕季也,2025,51,130,117,7,25,8,1,1,38,7,2,0,9,1,34,3,0.214,0.273,0.325,2,1,東北楽天
渡邊　佳明,2025,75,166,147,7,41,4,0,0,45,19,0,0,12,0,17,4,0.279,0.321,0.306,1,6,東北楽天
入江　大樹,2025,4,10,10,0,1,0,0,0,1,2,0,0,0,0,3,0,0.1,0.1,0.1,0,0,東北楽天
小森　航大郎,2025,33,80,76,8,15,1,0,1,19,3,5,0,2,1,21,1,0.197,0.225,0.25,0,1,東北楽天
陽　柏翔,2025,2,2,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0.5,0.5,0.5,0,0,東北楽天
辰己　涼介,2025,114,422,367,36,88,12,2,7,125,32,20,0,40,9,91,12,0.24,0.325,0.341,1,5,東北楽天
ゴンザレス,2025,53,208,201,18,46,5,1,4,65,19,0,2,4,2,37,10,0.229,0.25,0.323,0,1,東北楽天
田中　和基,2025,19,18,18,5,1,0,0,0,1,1,1,0,0,0,8,0,0.056,0.056,0.056,0,0,東北楽天
岡島　豪郎,2025,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,東北楽天
中島　大輔,2025,124,491,462,51,123,11,5,6,162,31,22,4,17,2,75,4,0.266,0.294,0.351,8,2,東北楽天
島内　宏明,2025,5,11,10,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0.091,0,0,0,東北楽天
吉納　翼,2025,2,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,東北楽天
武藤　敦貴,2025,62,130,108,21,22,3,2,0,29,10,3,2,14,2,31,0,0.204,0.302,0.269,4,2,東北楽天
小郷　裕哉,2025,90,193,173,18,30,7,2,2,47,12,11,0,16,1,54,0,0.173,0.245,0.272,1,2,東北楽天
吉野　創士,2025,5,13,13,0,3,0,0,0,3,2,0,0,0,0,2,1,0.231,0.231,0.231,0,0,東北楽天
古賀　優大,2025,87,291,264,16,74,11,0,2,91,16,2,0,12,4,23,14,0.28,0.319,0.345,9,2,東京ヤクルト
中村　悠平,2025,74,221,187,13,43,6,0,1,52,11,1,0,22,3,30,6,0.23,0.319,0.278,8,1,東京ヤクルト
松本　直樹,2025,18,36,34,0,6,1,0,0,7,0,0,0,2,0,7,3,0.176,0.222,0.206,0,0,東京ヤクルト
内山　壮真,2025,116,470,423,50,111,26,1,8,163,48,8,3,41,1,66,10,0.262,0.326,0.385,1,4,東京ヤクルト
鈴木　叶,2025,2,6,6,0,2,0,0,0,2,1,0,1,0,0,1,0,0.333,0.333,0.333,0,0,東京ヤクルト
橋本　星哉,2025,15,17,16,0,2,0,0,0,2,0,0,0,1,0,4,1,0.125,0.176,0.125,0,0,東京ヤクルト
赤羽　由紘,2025,103,290,258,22,54,11,1,2,73,19,5,3,18,0,66,2,0.209,0.259,0.283,12,2,東京ヤクルト
山田　哲人,2025,108,377,338,25,78,17,0,12,131,37,3,1,33,2,63,8,0.231,0.3,0.388,0,4,東京ヤクルト
川端　慎吾,2025,2,2,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0.5,0.5,1,0,0,東京ヤクルト
長岡　秀樹,2025,67,261,247,20,60,14,2,0,78,13,1,0,8,1,21,6,0.243,0.267,0.316,3,2,東京ヤクルト
茂木　栄五郎,2025,53,172,150,12,36,2,0,5,53,16,0,3,19,2,48,2,0.24,0.333,0.353,1,0,東京ヤクルト
宮本　丈,2025,80,106,89,4,23,4,0,0,27,9,1,0,14,1,20,2,0.258,0.365,0.303,2,0,東京ヤクルト
オスナ,2025,141,574,528,38,135,22,0,14,199,67,4,1,40,1,76,13,0.256,0.307,0.377,0,5,東京ヤクルト
西村　瑠伊斗,2025,4,11,11,2,1,0,0,0,1,1,0,0,0,0,4,1,0.091,0.091,0.091,0,0,東京ヤクルト
山野辺　翔,2025,5,3,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,埼玉西武
山野辺　翔,2025,17,24,19,2,4,1,0,0,5,2,2,0,2,1,2,0,0.211,0.318,0.263,2,0,東京ヤクルト
北村　拓己,2025,62,132,116,9,22,3,0,3,34,7,0,1,6,4,29,1,0.19,0.254,0.293,6,0,東京ヤクルト
北村　恵吾,2025,46,141,120,15,32,10,0,5,57,19,0,1,15,4,20,3,0.267,0.364,0.475,1,1,東京ヤクルト
田中　陽翔,2025,6,13,13,3,4,2,0,0,6,2,0,0,0,0,3,0,0.308,0.308,0.462,0,0,東京ヤクルト
村上　宗隆,2025,56,224,187,34,51,7,0,22,124,47,4,2,32,2,64,1,0.273,0.379,0.663,0,3,東京ヤクルト
武岡　龍世,2025,47,119,104,6,19,5,0,1,27,5,1,0,7,0,23,0,0.183,0.232,0.26,7,1,東京ヤクルト
伊藤　琉偉,2025,87,204,184,17,38,6,2,3,57,17,3,1,12,0,56,1,0.207,0.254,0.31,7,1,東京ヤクルト
並木　秀尊,2025,54,128,114,26,29,6,1,3,46,10,6,2,6,2,15,0,0.254,0.303,0.404,6,0,東京ヤクルト
西川　遥輝,2025,49,134,115,10,20,3,1,0,25,6,1,0,16,1,32,1,0.174,0.28,0.217,2,0,東京ヤクルト
丸山　和郁,2025,39,36,32,6,4,0,0,0,4,2,3,1,2,0,12,0,0.125,0.176,0.125,2,0,東京ヤクルト
塩見　泰隆,2025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,東京ヤクルト
サンタナ,2025,60,240,212,25,58,11,0,3,78,15,1,1,25,3,65,4,0.274,0.358,0.368,0,0,東京ヤクルト
澤井　廉,2025,27,77,75,3,14,4,0,1,21,3,0,0,1,1,27,1,0.187,0.208,0.28,0,0,東京ヤクルト
太田　賢吾,2025,44,131,118,11,27,6,0,0,33,6,0,0,6,4,28,0,0.229,0.285,0.28,1,2,東京ヤクルト
濱田　太貴,2025,34,104,95,13,21,6,0,4,39,9,0,0,5,4,26,1,0.221,0.288,0.411,0,0,東京ヤクルト
増田　珠,2025,75,132,116,9,27,4,2,1,38,11,1,0,10,4,19,2,0.233,0.315,0.328,2,0,東京ヤクルト
岩田　幸宏,2025,126,401,357,43,95,8,5,0,113,13,14,6,24,6,46,2,0.266,0.322,0.317,13,1,東京ヤクルト
若月　健矢,2025,121,400,368,30,100,16,2,6,138,31,2,0,16,7,61,7,0.272,0.314,0.375,8,1,オリックス
森　友哉,2025,50,191,161,16,33,8,0,1,44,14,0,0,26,3,31,0,0.205,0.325,0.273,0,1,オリックス
福永　奨,2025,39,74,66,5,10,2,1,1,17,6,0,0,4,2,23,1,0.152,0.219,0.258,1,1,オリックス
石川　亮,2025,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,オリックス
頓宮　裕真,2025,129,525,473,41,118,20,0,13,177,54,1,0,43,5,81,10,0.249,0.316,0.374,0,4,オリックス
山中　稜真,2025,19,52,49,2,6,1,1,1,12,3,0,0,3,0,9,2,0.122,0.173,0.245,0,0,オリックス
堀　柊那,2025,3,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0.333,0.333,0.333,0,0,オリックス
西野　真弘,2025,75,252,230,27,66,9,3,7,102,35,0,0,15,1,17,4,0.287,0.333,0.443,6,0,オリックス
宗　佑磨,2025,98,388,349,33,82,12,1,6,114,28,3,4,26,9,48,4,0.235,0.304,0.327,3,1,オリックス
野口　智哉,2025,33,64,55,10,8,5,1,1,18,3,0,1,6,3,16,0,0.145,0.266,0.327,0,0,オリックス
大城　滉二,2025,66,79,68,12,17,0,0,0,17,6,2,0,6,1,20,0,0.25,0.32,0.25,4,0,オリックス
紅林　弘太郎,2025,116,447,400,36,104,20,1,9,153,43,1,2,35,3,57,15,0.26,0.321,0.383,4,5,オリックス
廣岡　大志,2025,118,453,402,43,102,15,1,7,140,34,9,7,39,0,90,9,0.254,0.317,0.348,8,4,オリックス
太田　椋,2025,113,496,448,42,127,10,0,10,167,52,0,2,33,5,102,12,0.283,0.337,0.373,6,4,オリックス
横山　聖哉,2025,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,オリックス
ディアス,2025,50,138,127,6,29,4,0,2,39,6,0,0,11,0,31,5,0.228,0.29,0.307,0,0,オリックス
大里　昂生,2025,46,101,85,12,19,0,2,0,23,7,4,2,11,0,15,0,0.224,0.309,0.271,4,1,オリックス
中川　圭太,2025,119,463,433,54,123,26,1,12,187,53,10,2,20,1,49,9,0.284,0.314,0.432,5,4,オリックス
渡部　遼人,2025,51,14,10,9,2,0,0,0,2,0,2,0,2,1,4,0,0.2,0.385,0.2,1,0,オリックス
西川　龍馬,2025,96,412,387,29,120,23,1,5,160,40,4,1,18,2,60,5,0.31,0.343,0.413,4,1,オリックス
麦谷　祐介,2025,79,153,134,23,31,4,2,1,42,10,12,6,16,1,39,0,0.231,0.316,0.313,1,1,オリックス
元　謙太,2025,31,10,7,6,1,0,0,0,1,0,0,0,2,0,3,0,0.143,0.333,0.143,1,0,オリックス
杉澤　龍,2025,14,16,15,0,3,1,0,0,4,2,0,1,0,0,4,0,0.2,0.2,0.267,1,0,オリックス
オリバレス,2025,11,35,33,1,6,1,0,0,7,0,1,0,2,0,8,0,0.182,0.229,0.212,0,0,オリックス
来田　涼斗,2025,50,135,124,14,29,5,0,2,40,5,5,0,7,1,38,1,0.234,0.278,0.323,2,1,オリックス
茶野　篤政,2025,3,12,12,0,2,0,0,0,2,0,0,0,0,0,0,0,0.167,0.167,0.167,0,0,オリックス
福田　周平,2025,23,64,54,2,9,1,0,0,10,3,1,0,4,0,9,2,0.167,0.224,0.185,6,0,オリックス
杉本　裕太郎,2025,119,455,401,48,104,15,2,16,171,53,1,0,38,9,123,8,0.259,0.332,0.426,0,7,オリックス
古賀　悠斗,2025,112,328,289,26,66,8,0,7,95,21,1,1,32,0,62,9,0.228,0.305,0.329,7,0,埼玉西武
炭谷　銀仁朗,2025,40,88,81,4,19,4,0,0,23,4,0,1,3,1,18,3,0.235,0.271,0.284,3,0,埼玉西武
柘植　世那,2025,13,17,16,2,2,0,0,0,2,0,0,0,1,0,4,0,0.125,0.176,0.125,0,0,埼玉西武
牧野　翔矢,2025,29,67,61,3,13,0,1,0,15,0,1,0,2,0,22,0,0.213,0.238,0.246,4,0,埼玉西武
古市　尊,2025,10,19,18,1,8,0,0,0,8,0,0,0,1,0,1,0,0.444,0.474,0.444,0,0,埼玉西武
仲田　慶介,2025,60,96,87,14,20,2,0,0,22,3,1,3,4,2,13,2,0.23,0.28,0.253,3,0,埼玉西武
児玉　亮涼,2025,60,53,47,9,8,2,0,0,10,3,1,2,4,1,9,0,0.17,0.25,0.213,1,0,埼玉西武
齋藤　大翔,2025,4,12,11,0,1,0,0,0,1,0,0,1,1,0,3,1,0.091,0.167,0.091,0,0,埼玉西武
山野辺　翔,2025,5,3,3,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,埼玉西武
山野辺　翔,2025,17,24,19,2,4,1,0,0,5,2,2,0,2,1,2,0,0.211,0.318,0.263,2,0,東京ヤクルト
外崎　修汰,2025,115,415,359,29,84,13,1,5,114,34,6,2,39,4,72,11,0.234,0.31,0.318,5,8,埼玉西武
源田　壮亮,2025,104,361,320,21,67,11,5,0,88,20,8,5,25,2,60,4,0.209,0.269,0.275,11,3,埼玉西武
佐藤　龍世,2025,23,77,66,5,13,3,0,0,16,3,1,0,8,0,20,2,0.197,0.28,0.242,2,1,中　日
デービス,2025,36,131,113,8,23,3,0,3,35,9,0,0,17,1,24,4,0.204,0.313,0.31,0,0,埼玉西武
元山　飛優,2025,49,93,85,3,13,8,0,0,21,5,0,0,1,0,15,1,0.153,0.163,0.247,7,0,埼玉西武
山村　崇嘉,2025,71,231,211,14,52,8,1,4,74,20,0,3,14,2,36,2,0.246,0.296,0.351,1,3,埼玉西武
佐藤　太陽,2025,13,34,30,2,5,1,1,0,8,3,0,0,2,1,7,0,0.167,0.242,0.267,1,0,埼玉西武
平沢　大河,2025,7,17,17,1,1,1,0,0,2,0,0,0,0,0,4,0,0.059,0.059,0.118,0,0,埼玉西武
セデーニョ,2025,74,243,224,13,51,6,1,7,80,26,0,0,15,2,50,9,0.228,0.28,0.357,0,2,埼玉西武
髙松　渡,2025,27,19,17,4,1,0,0,0,1,0,7,1,0,0,8,0,0.059,0.059,0.059,2,0,埼玉西武
中村　剛也,2025,44,110,96,3,23,5,0,3,37,10,0,0,13,1,28,2,0.24,0.336,0.385,0,0,埼玉西武
滝澤　夏央,2025,125,438,385,31,90,4,0,0,94,14,21,7,28,2,67,2,0.234,0.289,0.244,23,0,埼玉西武
野村　大樹,2025,13,36,35,1,6,1,0,0,7,2,0,0,0,0,9,0,0.171,0.171,0.2,1,0,埼玉西武
村田　怜音,2025,23,85,82,3,16,4,0,2,26,9,0,0,2,1,32,2,0.195,0.224,0.317,0,0,埼玉西武
栗山　巧,2025,11,23,23,0,2,0,0,0,2,0,0,0,0,0,7,1,0.087,0.087,0.087,0,0,埼玉西武
渡部　聖弥,2025,109,452,425,42,110,16,3,12,168,43,2,3,21,4,85,11,0.259,0.299,0.395,0,2,埼玉西武
蛭間　拓哉,2025,12,37,34,0,6,0,0,0,6,0,0,0,1,0,8,0,0.176,0.2,0.176,2,0,埼玉西武
ネビン,2025,137,570,509,51,141,24,0,21,228,63,2,1,45,11,78,13,0.277,0.346,0.448,0,5,埼玉西武
平沼　翔太,2025,60,164,156,13,34,3,1,0,39,11,5,0,4,2,32,0,0.218,0.245,0.25,1,1,埼玉西武
古川　雄大,2025,5,16,12,1,1,0,0,0,1,0,0,1,4,0,4,1,0.083,0.313,0.083,0,0,埼玉西武
松原　聖弥,2025,8,24,22,1,6,1,0,0,7,0,0,0,0,0,6,0,0.273,0.273,0.318,2,0,埼玉西武
西川　愛也,2025,124,553,507,64,134,26,3,10,196,38,25,7,32,9,80,4,0.264,0.318,0.387,2,3,埼玉西武
仲三河　優太,2025,5,10,9,0,2,0,1,0,4,5,0,0,0,0,6,0,0.222,0.2,0.444,0,1,埼玉西武
長谷川　信哉,2025,132,450,400,42,90,16,3,6,130,36,9,4,33,3,56,11,0.225,0.286,0.325,9,5,埼玉西武
岸　潤一郎,2025,10,31,30,2,5,3,0,0,8,0,0,0,1,0,3,0,0.167,0.194,0.267,0,0,埼玉西武
モンテル,2025,12,11,11,1,1,0,0,0,1,0,1,0,0,0,5,0,0.091,0.091,0.091,0,0,埼玉西武
松尾　汐恩,2025,77,191,176,19,44,5,0,4,61,18,1,1,9,3,17,8,0.25,0.293,0.347,0,3,横浜DeNA
戸柱　恭孝,2025,45,100,95,5,23,4,0,2,33,6,0,0,2,0,15,5,0.242,0.253,0.347,1,2,横浜DeNA
伊藤　光,2025,6,9,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,横浜DeNA
山本　祐大,2025,104,344,313,22,82,19,2,3,114,41,0,0,16,4,40,5,0.262,0.3,0.364,4,7,横浜DeNA
東妻　純平,2025,4,6,6,1,1,0,0,0,1,0,0,0,0,0,4,0,0.167,0.167,0.167,0,0,横浜DeNA
九鬼　隆平,2025,12,12,12,0,3,0,1,0,5,0,0,0,0,0,3,0,0.25,0.25,0.417,0,0,横浜DeNA
林　琢真,2025,95,290,258,35,63,11,1,2,82,20,11,4,19,2,54,4,0.244,0.297,0.318,7,4,横浜DeNA
牧　秀悟,2025,93,391,364,48,101,24,0,16,173,49,3,4,16,10,76,6,0.277,0.325,0.475,0,1,横浜DeNA
オースティン,2025,65,246,219,35,59,14,0,11,106,28,0,0,26,1,45,10,0.269,0.35,0.484,0,0,横浜DeNA
森　敬斗,2025,28,75,72,4,11,0,1,0,13,4,0,2,2,0,16,1,0.153,0.173,0.181,0,1,横浜DeNA
京田　陽太,2025,83,210,194,21,42,5,1,1,52,14,1,0,9,4,60,3,0.216,0.264,0.268,2,1,横浜DeNA
三森　大貴,2025,91,179,160,23,34,9,0,0,43,10,22,8,17,0,32,1,0.213,0.287,0.269,1,1,横浜DeNA
柴田　竜拓,2025,70,32,22,4,2,0,0,0,2,0,1,1,4,0,6,0,0.091,0.231,0.091,6,0,横浜DeNA
加藤　響,2025,9,18,17,2,3,0,0,0,3,0,0,0,1,0,6,0,0.176,0.222,0.176,0,0,横浜DeNA
石上　泰輝,2025,73,158,141,15,34,9,0,2,49,16,3,2,14,1,42,2,0.241,0.314,0.348,2,0,横浜DeNA
宮﨑　敏郎,2025,95,352,321,25,89,16,1,6,125,39,0,0,28,1,42,14,0.277,0.335,0.389,0,2,横浜DeNA
井上　絢登,2025,12,31,29,2,5,0,0,2,11,7,0,0,1,0,6,0,0.172,0.194,0.379,0,1,横浜DeNA
田内　真翔,2025,2,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,横浜DeNA
知野　直人,2025,8,20,17,3,3,1,0,1,7,2,0,1,3,0,2,0,0.176,0.3,0.412,0,0,横浜DeNA
ビシエド,2025,43,90,81,8,21,4,0,2,31,6,0,0,6,2,8,3,0.259,0.322,0.383,0,1,横浜DeNA
フォード,2025,25,51,46,1,9,1,0,0,10,1,0,0,5,0,13,0,0.196,0.275,0.217,0,0,横浜DeNA
桑原　将志,2025,106,447,398,48,113,17,2,6,152,27,10,0,30,9,59,5,0.284,0.348,0.382,10,0,横浜DeNA
度会　隆輝,2025,86,301,270,24,65,10,2,6,97,25,0,1,24,1,36,5,0.241,0.303,0.359,4,2,横浜DeNA
佐野　恵太,2025,138,569,525,47,144,24,0,15,213,70,0,0,34,5,61,13,0.274,0.322,0.406,0,5,横浜DeNA
神里　和毅,2025,62,27,26,5,8,1,2,0,13,2,3,0,1,0,8,0,0.308,0.333,0.5,0,0,横浜DeNA
筒香　嘉智,2025,75,257,224,29,51,12,0,20,123,43,0,0,33,0,59,7,0.228,0.327,0.549,0,0,横浜DeNA
勝又　温史,2025,7,9,9,0,3,0,0,0,3,0,0,0,0,0,1,0,0.333,0.333,0.333,0,0,横浜DeNA
梶原　昂希,2025,61,170,163,21,40,9,1,2,57,10,6,3,4,2,51,1,0.245,0.271,0.35,0,1,横浜DeNA
蝦名　達夫,2025,115,401,348,53,99,21,1,8,146,41,5,4,31,11,68,5,0.284,0.355,0.42,4,7,横浜DeNA
関根　大気,2025,9,23,23,2,4,3,0,0,7,1,0,0,0,0,2,1,0.174,0.174,0.304,0,0,横浜DeNA
